"model";"coordinates";"zoomedEntities";"url";"limit";"assistantInstructions";"extraInstructions";"prompt";"response";"durationCB";"durationOAI";"duration";"waiting";"logTime"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"75.90000000596046";"[4842.5, 5080.5]";"[6363.5999999940395, 6601.5999999940395]";"8";"2024-10-16T10:27:25.241Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"83.40000000596046";"[2456.5, 2697]";"[3704.9000000059605, 3945.4000000059605]";"6";"2024-10-16T10:27:39.094Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"67.60000002384186";"[2364.5]";"[3293.100000023842]";"6";"2024-10-16T10:27:45.670Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"99.09999999403954";"[3794.399999976158, 4054.199999988079]";"[4833.0999999940395, 5092.9000000059605]";"2";"2024-10-16T10:27:52.862Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"68.69999998807907";"[3398.699999988079]";"[4321.899999976158]";"6";"2024-10-16T10:28:01.661Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"79";"[1084.2999999821186, 1319.199999988079]";"[3749.4000000059605, 3984.300000011921]";"0";"2024-10-16T10:28:08.257Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"72.30000001192093";"[3218.699999988079, 3468.4000000059605]";"[4756.5, 5006.200000017881]";"6";"2024-10-16T10:28:26.257Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"68.19999998807907";"[2354.2999999821186]";"[3865.699999988079]";"6";"2024-10-16T10:28:33.169Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"63.89999997615814";"[2364.699999988079, 2667.699999988079]";"[3282.699999988079, 3585.699999988079]";"5";"2024-10-16T10:28:40.729Z"
"gpt-4o";"[-3.7794685363769536, 40.32063471629669, -3.6280632019042973, 40.32063471629669, -3.6280632019042973, 40.512755103066716, -3.7794685363769536, 40.512755103066716]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7794685363769536%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.32063471629669%5D%2C%5B-3.6280632019042973%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.512755103066716%5D%2C%5B-3.7794685363769536%2C40.32063471629669%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . - Restaurante StreetXO. - Iglesia de Santa María la Real de La Almudena. - Hospital Clínico San Carlos. - Juzgados de Plaza de Castilla. - Restaurante El Club Allard. - Restaurante Sobrino de Botín. - Hospital Universitario 12 de Octubre. - Universidad Politécnica de Madrid (UPM). - Restaurante Botín. - El Retiro";"61.70000001788139";"[2546.199999988079, 2779.399999976158]";"[3568.800000011921, 3802]";"6";"2024-10-16T10:28:54.265Z"
