"model";"coordinates";"zoomedEntities";"url";"limit";"assistantInstructions";"extraInstructions";"prompt";"response";"durationCB";"durationOAI";"duration";"waiting";"logTime"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"44.6000000089407";"[2897.7999999970198, 3144.7000000029802, 3381.6000000089407]";"[4587.5, 4834.4000000059605, 5071.300000011921]";"6";"2024-10-30T12:41:20.887Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"55.29999999701977";"[3773, 4038.0999999940395]";"[4858.5999999940395, 5123.699999988079]";"3";"2024-10-30T12:41:32.331Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"80.69999998807907";"[1851.5999999940395, 2102.5]";"[2740.3999999910593, 2991.2999999970198]";"4";"2024-10-30T12:41:37.121Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"48.80000001192093";"[1944]";"[2831.9000000059605]";"4";"2024-10-30T12:41:41.726Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"71.70000000298023";"[2059]";"[2907.2000000029802]";"4";"2024-10-30T12:41:46.476Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"41.3999999910593";"[2234]";"[3200.8999999910593]";"5";"2024-10-30T12:41:51.448Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"73.8999999910593";"[2037]";"[2973.2000000029802]";"0";"2024-10-30T12:41:56.036Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"42.30000001192093";"[1758.5]";"[2695.1000000089407]";"4";"2024-10-30T12:42:00.406Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"41.70000000298023";"[1776.9000000059605]";"[3137.9000000059605]";"4";"2024-10-30T12:42:07.593Z"
"gpt-4o";"[-3.7641906738281254, 40.34811406840931, -3.6435127258300786, 40.34811406840931, -3.6435127258300786, 40.485342924756075, -3.7641906738281254, 40.485342924756075]";"['urn:ngsi-ld:PoI:170', 'urn:ngsi-ld:PoI:213', 'urn:ngsi-ld:PoI:23', 'urn:ngsi-ld:PoI:230', 'urn:ngsi-ld:PoI:240', 'urn:ngsi-ld:PoI:246', 'urn:ngsi-ld:PoI:258', 'urn:ngsi-ld:PoI:287', 'urn:ngsi-ld:PoI:381', 'urn:ngsi-ld:PoI:422']";"http://localhost:1027/http://fiware-orion-ld:1026/ngsi-ld/v1/entities?local=true&type=PoI&options=concise&limit=10&orderBy=relevance&georel=within&geometry=Polygon&coordinates=%5B%5B%5B-3.7641906738281254%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.34811406840931%5D%2C%5B-3.6435127258300786%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.485342924756075%5D%2C%5B-3.7641906738281254%2C40.34811406840931%5D%5D%5D";"10";"You are a tourist guide in the city from where the data is provided. Also you are expert in NGSI and semantics. You should only answer about the following points of interests that I will provide you in NGSI format. At first, you should only provide the name of the places with not extra detail, unless requested in the prompt message by the user. If you don't know about any place, or you cannot find anything matching the request you should just say that you can't find anything in a expresive and emphatic way related to the asked question.";"You should provide the information in plain text, with natural language understandable by tourists. Please, also consider only the following points of interest when giving advices. Otherwise, just say that you can't find anything. Answer in plain natural text please, no markdown nor HTML. And simple items including only the title, unless requested by the user. Please, If there are NO PoIs, DO NOT GIVE ANY HINT, just say you do not know. Here are the PoIs: ";"What can I visit today in Madrid?";"Here are some places you can visit in Madrid:. . 1. Restaurante StreetXO. 2. Iglesia de Santa María la Real de La Almudena. 3. Hospital Clínico San Carlos. 4. Juzgados de Plaza de Castilla. 5. Restaurante El Club Allard. 6. Restaurante Sobrino de Botín. 7. Hospital Universitario 12 de Octubre. 8. Universidad Politécnica de Madrid (UPM). 9. Restaurante Botín. 10. El Retiro";"47.20000000298023";"[1782.5]";"[5429.5]";"4";"2024-10-30T12:42:15.084Z"
